"id","type","original_language","post_date","published","updated_date","location_name","address1","address2","city","province","postal_code","country","tags","featured","hidden","files","links","photos","videos","audio","latitude","longitude","reviewed_by","reviewed_at","verified","orginal_entry_id","friendly_id","recruitment_method","level_polarization","typical_purposes","facetoface_online_or_both","method_types","public_spectrum","open_limited","number_of_participants","scope_of_influence","participants_interactions","decision_methods","if_voting","facilitators","level_complexity","purpose_method","completeness","collections"
169,"method","en","2010-06-04 00:00:00",True,"2020-07-21 00:00:00","","","","","","","","{}",False,False,"{}","{""(https://www.uaex.edu/publications/pdf/MP350.pdf,\""University of Arkansas Division of Agriculture, Research & Extension\"",\""UofA - Simplified Handbook of Parliamentary Procedure\"")"",""(https://www.parliament.uk/about/how/,\""UK Parliament\"",\""UK Parliament - \""\""How Parliament Works\""\""\"")"",""(http://zimmer.csufresno.edu/~johnca/cagle-p3.htm,\""Dr. John A. Cagle,  Parliamentarian of the Academic Senate and Professor Emeritus of Communication at California State University, Fresno\"",\""Parliamentary Procedure: Toward the Good Order of the University\"")"",""(https://www.ncsl.org/legislators-staff/legislative-staff/clerks-and-secretaries/video-10-principles-of-parliamentary-proc.aspx,\""National Conference of State Legislatures\"",\""10 Principles of Parliamentary Procedure (NCSL)\"")"",""(https://books.google.ca/books?hl=en&lr=&id=7iNpDwAAQBAJ&oi=fnd&pg=PA1&dq=parliamentary+procedure&ots=rl3j9qgNGB&sig=17C4kULbtuaSUa2byBFoZZRGtyI&redir_esc=y#v=onepage&q=parliamentary%20procedure&f=false,\""Kari Palonen\"",\""The Politics of Parliamentary Procedure: The Formation of the Westminster Procedure as a Parliamentary Ideal Type\"")"",""(https://www.tandfonline.com/doi/abs/10.1080/714003882?casa_token=uNPK4W3GBuEAAAAA:r7UIsmYbsycmIKP8cXhwpqbcQ5dYA6r4qZkUiM97sFgQ4n99VkMvDc3kcNXC5_lWoma9m4uOjFBLfw,\""P. Norton\"",\""Journal Article - Playing by the Rules: The Constraining Hand of Parliamentary Procedure\"")"",""(https://link.springer.com/content/pdf/10.1007/s11127-008-9300-3.pdf,\""Thomas Schwartz\"",\""Journal Article - Parliamentary procedure: principal forms and political effects\"")"",""(https://www.tandfonline.com/doi/abs/10.1080/03637759809376450?casa_token=pMXRDI69NJoAAAAA:bTzicbcyJIq4Q4YiN2JIfj_wisn0ZwGplsMFVkL2CqKPZwLgVtdn0tL77fa451P5y_ffW01e-9y9eg,\""Al Weitzel & Patricia Geist\"",\""Journal Article - Parliamentary procedure in a community group: Communication and vigilant decision making\"")"",""(https://heinonline.org/HOL/Page?handle=hein.journals/mcgil46&id=1047&collection=journals&index=,\""John Mark Keyes and Anita Mekkunnel\"",\""Law Journal - Traffic Problems at the Intersection of Parliamentary Procedure and Constitutional Law\"")"",""(http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.569.495&rep=rep1&type=pdf,\""James J. Connors\"",\""A History of Leadership Development Through Parliamentary Procedure Instruction and Events in Agricultural Education and FFA\"")""}","{""(https://s3.amazonaws.com/participedia.prod/eebf7578-66f0-4893-b4b0-ddd0bb82d552,https://www.associationservicesgroup.net/wp-content/uploads/2018/05/25102323896_8abff2a59a_o.jpg,\""\"",\""The Basics of Parliamentary Procedure\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"parliamentary-procedure","election","moderate","{}","facetoface","{deliberative,experiential}","","limited","{large,medium}","{organization,city/town,national}","{discussion,formal,negotiation}","{voting}","{majoritarian,plurality}","yes","","{develop}","complete","{}"
5308,"method","en","2018-06-14 14:32:23.053918",True,"2018-08-06 16:05:22.736377","","","","","","","","{}",False,False,"{}","{""(\"" https://www.socialmediaexaminer.com/twitter-chat-guide/\"",\""\"",\""\"")"",""(https://doi.org/10.1080/1369118X.2017.1301518,\""\"",\""\"")""}","{""(6eab8971-3454-4df9-8022-78b2abc38d13_20122F122F042Fa42F7tipsforbet.bKQ_5b1rv.jpg,\""\"",\""\"",\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"twitter-chat","","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,"{}"
13421,"method","en","2024-09-16 06:14:49.402798",False,"2024-09-16 06:14:49.402798","","","","","","","","{}",False,False,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","facetoface","{collaborative}","","","{}","{}","{}","{}","{}","","","{}",NULL,"{}"
543,"method","en","2012-02-29 23:40:54",True,"2018-07-16 21:59:39.307799","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","moderate_polarization","{}","","{}","","","{}","{national}","{}","{}",NULL,"yes","","{}",NULL,"{}"
5305,"method","en","2018-06-13 00:00:00",True,"2019-08-05 04:42:25.120639","","","","","","","","{}",False,True,"{}","{""(https://web.archive.org/web/20120427045204/http://noddr.de:80/,\""\"",\""\"")""}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}","{}","no","","{}",NULL,"{}"
484,"method","en","2012-01-11 00:00:00",True,"2020-03-03 00:00:00","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}","{}","no","","{}","","{}"
5651,"method","en","2019-03-20 12:32:48.134315",True,"2019-03-20 17:54:28.030372","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,"{}"
7849,"method","en","2021-12-08 18:40:31.105478",True,"2021-12-08 18:40:31.105478","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,NULL
387,"method","en","2011-11-30 00:00:00",True,"2020-02-11 00:00:00","","","","","","","","{}",False,False,"{}","{""(https://heinonline.org/HOL/Page?handle=hein.journals/nmlr28&div=17&g_sent=1&casa_token=aKTnT7QUPZgAAAAA:grcBSNtGcLkfMdoS-oYcMKdE7g8zClo-4Vs2JYdffOTQnA57b83a4WYSrFluJEv1YHHwOFnW&collection=journals,\""John F Cooper\"",\""The Citizen Initiative Petition to Amend State Constitutions: A Concept Whose Time Has Passed, or a Vigorous Component of Participatory Democracy at the State Level \"")"",""(https://doi.org/10.1093/pa/gss005,\""Catherine Bochel\"",\""Petitions Systems: Contributing to Representative Democracy?\"")"",""(https://www.emerald.com/insight/content/doi/10.1108/17506161111173577/full/html?casa_token=GoAgujzItsQAAAAA:B0FezjazsIinxBxWt_Hqdq4dlFQq5XZ0L0G96-P6daSA0bCJCNZx2eKFsLXww8Cm9nyZZBStKspmiAuj-dUCTR4n39jY9BeqsmbTiifgf0QpckRy_sA,\""Peter Cruikshank and Colin Smith\"",\""Understanding the “e‐petitioner”\"")""}","{""(https://s3.amazonaws.com/participedia.prod/9dc93f8a-c051-4d22-9cbc-46ee9fc4907e_petition.jpeg,https://www.kansascity.com/opinion/opn-columns-blogs/steve-rose/article126650039.html,\""\"",\""\""\""Petitions allow cranks to stifle forward-looking governance in Kansas City\""\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"petition","not","not","{}","both","{}","inform","open","{no_limit}","{no_geo}","{express}","{n/a}","{}","no","low","{make,make_influence}","stub","{}"
13439,"method","en","2024-10-09 23:25:29.122904",False,"2024-10-09 23:25:29.122904","","","","","","","","{}",False,False,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","online","{}","","","{}","{}","{}","{}","{}","","","{}",NULL,"{}"
5768,"method","en","2019-05-02 14:57:43.063715",True,"2019-05-02 14:57:43.083985","","","","","","","","{}",False,False,"{}","{""(\""http://designdialogues.com/evdiscovery/ \"",\""\"",\""\"")""}","{""(048012a9-c00a-48ff-ada0-3ab14a54de5d_MultiStakeModel-e1554669460612.jpg,\""\"",\""\"",\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"evolutionary-stakeholder-discovery","","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,"{}"
459,"method","en","2011-12-30 00:00:00",True,"2020-06-01 00:00:00","","","","","","","","{}",False,False,"{}","{""(https://cft.vanderbilt.edu/guides-sub-pages/teaching-through-community-engagement/,\""Vanderbilt University - Centre for Teaching\"",\""What is Service Learning or Community Engagement? (Vanderbilt University Centre for Teaching)\"")""}","{""(https://s3.amazonaws.com/participedia.prod/adbc6188-aee7-4571-aad0-12501cb9c9ed_community-service-learning.jpeg,http://tinyurl.com/y43ydlep,\""\"",\""Community-Service Learning\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"community-service-learning","appointment","","{}","facetoface","{experiential,community}","","open","{medium}","{neighbourhood,organization,city/town}","{informal}","{n/a}","{}","no","moderate","{develop,deliver}","stub","{}"
4434,"method","en","2016-06-19 00:00:00",True,"2020-01-13 00:00:00","","","","","","","","{}",False,False,"{}","{""(https://world-changers.org/participatory-process-methods,\""\"",\""\"")""}","{""(https://s3.amazonaws.com/participedia.prod/0e70f13b-8849-467b-9509-41d039956a72,https://localstubs.com/events/speed-dialogue-2,\""\"",\""interfaith speed dialogue\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"speed-dialogue","","","{}","facetoface","{deliberative}","","both","{small}","{city/town,regional,neighbourhood}","{discussion,informal}","{idea}","{}","yes","","{make}","partial_citations","{}"
5413,"method","en","2018-08-04 22:06:22.73878",True,"2018-08-04 22:06:22.756893","","","","","","","","{}",False,False,"{}","{""(https://vrk.fi/en/finnish-citizens-initiative,\""\"",\""\"")""}","{""(88ec8a65-4233-4a1e-b131-3bc6845a9efc_Eduskuntatysistunto.jpg,\""\"",\""\"",\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"finnish-citizens-initiative","","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,"{}"
176,"method","en","2010-09-13 00:00:00",True,"2020-03-03 00:00:00","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}","{}","no","","{}","","{}"
520,"method","en","2012-02-09 00:00:00",True,"2020-08-27 00:00:00","","","","","","","","{}",False,False,"{}","{""(https://www.etuc.org/,\""European Trade Union Confederation\"",\""European Trade Union Confederation Official Website\"")"",""(http://ec.europa.eu/social/main.jsp?catId=707&langId=en&intPageId=211,\""\"",\""European Commission - Employment, Social Affairs & Inclusion: Industrial Relations\"")"",""(https://www.tandfonline.com/doi/pdf/10.1080/10714839.2013.11721992?casa_token=kx3OM77EG6EAAAAA:O1qTsTzUJonTEf6Ze2JPbndkRvhzDs_BsDdrmEGU2dzUqTBEFmGH46CxgtvQI454nCOcYVss61fQ8A,\""Dario Azzellini\"",\""The Communal State: Communal Councils, Communes, and Workplace Democracy\"")"",""(https://heinonline.org/HOL/Page?handle=hein.journals/labstuj15&id=166&collection=journals&index=,\""Stephen J. Havlovic\"",\""German Works' Councils: A Highly Evolved Institution of Industrial Democracy \"")""}","{""(https://s3.amazonaws.com/participedia.prod/41aa4949-f9fa-4758-80a1-0efadacca9bd,https://libcom.org/history/soviets-russian-workers-peasants-soldiers-councils-1905-1921-oskar-anweiler,\""\"",\""Russian workers', soldiers' and peasants' councils \"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"workers-council","election","moderate","{}","facetoface","{longterm,community}","","open","{small,large}","{national}","{discussion,formal,negotiation}","{voting}","{}","no","","{make_influence,make,develop}","partial_citations","{}"
13463,"method","en","2024-11-04 12:14:55.548558",False,"2024-11-04 12:14:55.548558","","","","","","","","{}",False,False,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","both","{community,evaluation,deliberative}","involve","limited","{}","{}","{}","{}","{}","","","{}",NULL,"{}"
6411,"method","en","2020-02-07 00:00:00",True,"2020-02-21 00:00:00","","","","","","","","{}",False,False,"{}","{""(http://www.click4it.org/index.php/River_of_Life_Method,\""\"",\""River of Life Method (unitar learning & training wiki)\"")"",""(https://www.jiscmail.ac.uk/cgi-bin/webadmin%3FA3%3Dind1301%26L%3DPYGYWG%26E%3Dbase64%26P%3D1423075%26B%3D--_006_A169BAD2C2DC6D418270CDC03DF5CDF45272A0DD1CEGENMBX02camp_%26T%3Dapplication%252Fpdf%3B%2520name%3D%2522OUpdf.pdf%2522%26N%3DOUpdf.pdf%26attachment%3Dq%26XSS%3D3,\""Barry Percy-Smith\"",\""Critical reflections on river of experience & life journey mapping as participatory inquiry tools\"")"",""(https://core.ac.uk/download/pdf/132556403.pdf,\""Judit Fullana, Maria Pallisera, and Montserrat Vilà\"",\""Advancing towards Inclusive Social Research. Visual Methods as opportunities for people with Severe Mental Illness to participate in research\"")"",""(https://www.researchgate.net/publication/254345526_Exploring_Power_and_Privilege_Using_Participatory_Learning_and_Action_Techniques,\""Vivienne Bozalek\"",\""Journal article - Exploring Power and Privilege Using Participatory Learning and Action Techniques\"")"",""(http://kstoolkit.org/River+of+Life,\""Catherine Fisher & Nancy White\"",\""kstoolkit - River of Life\"")"",""(https://steps-centre.org/pathways-methods-vignettes/methods-vignettes-rivers-life/,\""Dominic Glover and Saurabh Arora\"",\""steps centre - Methods Vignettes: Rivers of Life\"")"",""(http://etd.uwc.ac.za/handle/11394/7024,\""Faeza Khan\"",\""Social justice and participatory parity: Students’ experiences of university residence life at a historically disadvantaged institution in South Africa\"")"",""(https://pubs.iied.org/G02828/,\""Ziad Moussa\"",\""Tips for Trainers : Rivers of life\"")""}","{""(https://s3.amazonaws.com/participedia.prod/ae79a385-21a1-472b-ad09-a6a7f97fb141,https://participedia.net/case/5837,\""\"",\""Decommissioning South African Social Services: Participatory Field Research in Khayelitsha\"")""}","{""(https://www.youtube.com/watch?v=fxC0ky8EJ5o,\""Center for Participatory Research at UNM Health Sciences Center\"",\""Using the River of Life as a Tool\"")""}","{}",NULL,NULL,NULL,NULL,False,NULL,"152902","","","{}","facetoface","{participatory}","","","{small,medium}","{neighbourhood,city/town}","{storytelling}","{n/a}","{}","","","{}","stub","{}"
13454,"method","en","2024-10-25 16:01:35.83988",False,"2024-10-25 16:01:35.83988","","","","","","","","{}",False,False,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","online","{collaborative,deliberative}","","","{}","{}","{}","{}","{}","","","{}",NULL,"{}"
4795,"method","en","2017-02-08 00:00:00",True,"2020-08-10 00:00:00","","","","","","","","{}",False,False,"{}","{""(http://openspaceworld.org/wp2/what-is/,\""\"",\""Open Space World - What is Open Space Technology?\"")"",""(http://tinyurl.com/y66kurbd,\""Harrison Owen\"",\""Open Space Technology: A User's Guide\"")""}","{""(https://s3.amazonaws.com/participedia.prod/83ed524b-dd5e-4316-a828-898303e8b9bf_open-space-technology.jpg,http://tinyurl.com/y6lcbfhv,\""\"",\""Open Space Technology\"")""}","{""(https://www.youtube.com/watch?v=M_jhcvCYBbg,\""Camp Stomping Ground\"",\""Open Space Technology Introduction\"")""}","{}",NULL,NULL,NULL,NULL,False,NULL,"open-space-technology","","low","{}","","{informal,participantled,collaborative}","","open","{small,medium,large}","{city/town,neighbourhood}","{discussion,listenwatch,informal}","{idea}","{}","no","","{develop,make}","partial_content","{}"
4150,"method","en","2014-11-26 12:58:32",True,"2018-07-16 21:57:37.348372","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,"yes","","{}",NULL,"{}"
5362,"method","en","2018-06-29 08:43:38.463033",True,"2018-07-16 08:25:16.779109","","","","","","","","{}",False,True,"{}","{""(https://participedia.xyz/method/5179,\""\"",\""\"")""}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,"{}"
5647,"method","en","2019-03-13 23:08:32.340555",True,"2019-03-19 23:29:29.778009","","","","","","","","{}",False,True,"{}","{}","{""(d32a53b2-90e0-4de8-8e4c-b1e8e25ddfe7_2017-580x339.jpg,\""\"",\""\"",\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,"{}"
6296,"method","en","2019-11-11 00:00:00",True,"2020-02-11 00:00:00","","","","","","","","{}",False,True,"{""(https://s3.amazonaws.com/participedia.prod/2a55ae3b-0d87-4339-a078-154c3d1453cf,\""\"",\""\"",export.pdf)""}","{}","{""(https://s3.amazonaws.com/participedia.prod/a4d93dd4-1a85-4593-90df-ec5d13717dde,\""\"",\""\"",pexels-photo-236047.jpeg)""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}","{}","","","{}","","{}"
5746,"method","en","2019-04-08 15:52:13.062162",True,"2019-04-08 16:03:08.588146","","","","","","","","{}",False,False,"{}","{""(\""https://www.communityplanningtoolkit.org/ \"",\""\"",\""\"")""}","{""(87005c2d-04b0-4b5d-8f08-fb3803cbaf72_CommunityPlanningToolkit-front.jpg,\""\"",\""\"",\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"community-places-community-planning-toolkit","","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,"{}"
6092,"method","en","2019-09-22 00:00:00",True,"2020-06-05 00:00:00","","","","","","","","{}",False,False,"{}","{""(https://ethelo.com/technology/,\""\"",\""Ethelo Website\"")""}","{""(\""https://s3.amazonaws.com/participedia.prod/6ab4ec0c-a2ee-45a4-858d-198e7a408091-Ethelo Online Engagement Platform\"",https://youtu.be/roPkJ70X708,\""Ethelo Decisions\"",\""Ethelo Online Engagement Platform\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"649098","","","{}","online","{}","","open","{}","{}","{discussion,express}","{}","{}","","","{}","stub","{6492}"
4848,"method","en","2017-03-23 00:00:00",True,"2021-02-01 00:00:00","","","","","","","","{}",False,False,"{}","{}","{""(https://s3.amazonaws.com/participedia.prod/aafb3b4b-469a-4e39-a174-20dc8720134a_research-image-tharin-beerman.jpg,https://goo.gl/txeR7Y,\""Tharin Beeman\"",\""\""\""Osama hiding in his cave\""\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"public-policy-collage","","moderate","{}","facetoface","{informal,participatory,participantled}","","open","{no_limit}","{city/town,neighbourhood,metropolitan}","{informal}","{n/a}","{}","no","low","{develop}","complete","{}"
6244,"method","en","2019-11-03 00:00:00",True,"2020-08-10 00:00:00","","","","","","","","{}",False,False,"{}","{}","{""(https://s3.amazonaws.com/participedia.prod/6beb88f8-e719-4c59-95f4-753c6b2d2966,https://image.shutterstock.com/image-photo/2-may-2015-london-united-260nw-275759021.jpg,Shutterstock,\""Posting a letter\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"446291","","","{}","facetoface","{informal,deliberative,evaluation}","involve","","{no_limit}","{}","{express,informal}","{}","{}","","low","{make}","stub","{}"
5644,"method","en","2019-03-05 00:00:00",True,"2019-06-30 17:47:39.017876","","","","","","","","{}",False,False,"{}","{""(https://theconversation.com/how-journalists-can-rebut-trumps-fake-news-claims-110307,\""\"",\""\"")""}","{""(https://s3.amazonaws.com/participedia.prod/ca5169ea-916f-477d-bd30-20f17cc64aab_227653806.jpg,\""\"",\""\"",\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"solutions-journalism","","","{}","","{}","","","{}","{}","{}","{not_applicable}","{}","","","{}",NULL,"{}"
5181,"method","en","2018-02-01 00:37:03",True,"2019-04-29 05:39:04.320884","","","","","","","","{}",False,True,"{}","{""(https://yopcam.wordpress.com/tag/cameroon-national-youth-policy/,\""\"",\""\"")""}","{""(793cbf77-b1fe-409c-b159-482f527d83cf_cameroon-town-hall.jpg,\""\"",\""\"",\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,"no","","{}",NULL,"{}"
626,"method","en","2012-07-12 23:56:24",True,"2018-07-16 22:01:16.365696","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,"no","","{}",NULL,"{}"
7852,"method","en","2021-12-08 22:33:11.1738",True,"2021-12-08 22:33:11.1738","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,NULL
6094,"method","en","2019-09-22 00:00:00",True,"2020-11-12 00:00:00","","","","","","","","{}",False,True,"{""(\""https://s3.amazonaws.com/participedia.prod/4ced8c27-7dbe-47be-a856-7f0adeab7657-Ford Foundation: Participatory Grantmaking\"",https://www.fordfoundation.org/media/3599/participatory_grantmaking-lmv7.pdf,\""\"",\""Ford Foundation: Participatory Grantmaking\"")""}","{""(https://histphil.org/2019/08/15/the-historical-case-for-participatory-grantmaking/?fbclid=IwAR2ltokHhuKfxJ1yb--izOvoKkqEg92hv9yXS3ASJkKBypAxwoLdHJ4MDBs,\""\"",\""The Historical Case For Participatory Grantmaking\"")""}","{""(https://s3.amazonaws.com/participedia.prod/7c10ede9-14fb-4b74-aee0-19504b7caaea,https://chiarts.org/wp-content/uploads/2016/06/annual-giving-1-e1470242322382.png,ChiArts,\""ChiArts' Annual Giving Circles is an example of participatory philanthropy\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","facetoface","{collaborative,community,internal}","","","{}","{}","{}","{}","{}","","","{}","stub","{}"
