id,type,post_date,updated_date,location_name,city,province,country,country_best,city_best,approaches,method_types,tools_techniques_types,specific_methods_tools_techniques,primary_org_id,missing_org,missing_methods,missing_country
8449,case,2022-08-31 20:09:27.043217,2022-08-31 20:09:27.043217,,,,,Unknown,Unknown,{},{deliberative},{facilitate},{},,1,1,1
13428,case,2024-09-27 06:36:37.730199,2024-09-27 06:36:37.730199,,Hsinchu,Hsinchu City,Taiwan,Taiwan,Hsinchu,{},{},{},{},,1,1,0
12197,case,2023-01-17 17:12:52.90549,2023-01-17 17:12:52.90549,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
4198,case,2015-04-06 14:28:22,2018-10-25 20:50:47.274765,,,,Morocco,Morocco,Unknown,{},{},{},{},,1,1,0
12495,case,2023-05-02 08:19:26.463571,2023-05-02 08:19:26.463571,,Romsey,England,United Kingdom,United Kingdom,Romsey,{},{},{},{},,1,1,0
4196,case,2015-04-01 00:00:00,2020-05-11 00:00:00,,Cochabamba,,Bolivia,Bolivia,Cochabamba,{},{},{},{},4153.0,0,1,0
5942,case,2019-07-07 00:00:00,2021-11-03 11:43:49.233908,,Phoenix,Arizona,United States,United States,Phoenix,"{research,citizenship}",{deliberative},"{facilitate,recruit,inform}","{5097,164,560,566,5507}",252.0,0,0,0
504,case,2012-01-19 14:03:55,2016-03-20 08:07:03,,,Ceara,Brazil,Brazil,Unknown,{},{},{},{},,1,1,0
5689,case,2019-03-27 00:00:00,2021-01-14 00:00:00,UK,,,United Kingdom,United Kingdom,UK,{consultation},"{deliberative,planning}","{facilitate,propose,collect}","{565,5179,733}",,1,0,0
1187,case,2013-07-22 00:00:00,2017-08-09 00:00:00,Miles Platting,Manchester,Manchester (Greater),United Kingdom,United Kingdom,Manchester,{},{},{},{},,1,1,0
8451,case,2022-08-31 20:49:35.353244,2022-08-31 20:49:35.353244,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
6614,case,2020-06-21 00:00:00,2020-06-21 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
6467,case,2020-04-03 00:00:00,2020-04-10 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7032,case,2020-09-27 00:00:00,2020-11-02 00:00:00,,Solingen,North Rhine-Westphalia,Germany,Germany,Solingen,{consultation},"{deliberative,planning}","{facilitate,recruit,plan}","{560,160,154}",1012.0,0,0,0
6438,case,2020-03-24 00:00:00,2020-03-31 00:00:00,,,,,Unknown,Unknown,"{research,coproduction_form}","{collaborative,experiential}",{inform},{183},,1,0,1
12196,case,2023-01-17 17:12:52.851034,2023-01-17 17:12:52.851034,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7818,case,2021-11-27 00:00:00,2021-11-27 16:43:17.522608,,New Delhi,Delhi,India,India,New Delhi,{},{},{},{},,1,1,0
7821,case,2021-11-30 00:00:00,2021-11-30 15:02:27.616152,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
8454,case,2022-09-01 20:21:10.8483,2022-09-01 20:21:10.8483,,Santa Clara,California,United States,United States,Santa Clara,"{consultation,evaluation,leadership}","{deliberative,evaluation,collaborative}","{propose,facilitate,collect}",{},,1,1,0
8085,case,2022-03-18 00:00:00,2022-05-12 16:58:41.64129,,,,Libya,Libya,Unknown,{leadership},{deliberative},{facilitate},{},,1,1,0
5405,case,2018-07-20 23:15:46.656815,2018-07-21 20:35:37.454585,"Riolo Terme, Province of Ravenna, Italy",Riolo Terme,,Italy,Italy,Riolo Terme,{cogovernance},{},{},{},,1,1,0
6223,case,2019-10-27 00:00:00,2019-10-27 00:00:00,,,Alberta,Canada,Canada,Unknown,"{research,civil,independent}","{deliberative,research}","{facilitate,collect,facilitate_decisionmaking}","{5179,560}",,1,0,0
13429,case,2024-09-27 06:42:16.018155,2024-09-27 06:42:16.018155,,Hsinchu,Hsinchu City,Taiwan,Taiwan,Hsinchu,{},{},{},{},,1,1,0
1,case,2009-09-16 00:00:00,2021-04-12 00:00:00,,,British Columbia,Canada,Canada,Unknown,"{direct,cogovernance,consultation}",{deliberative},"{facilitate,facilitate_decisionmaking,recruit}","{4258,5507,560,4232}",,1,0,0
5943,case,2019-07-07 00:00:00,2020-08-04 00:00:00,,Monmouth,Oregon,United States,United States,Monmouth,"{research,citizenship}",{deliberative},"{facilitate,recruit,inform}","{5097,164,5507,566,560}",252.0,0,0,0
5453,case,2018-10-09 21:20:41.161434,2019-03-09 08:02:27.942921,"Boston, MA, USA",Boston,,United States,United States,Boston,"{protest,advocacy,social}",{},{},{},,1,1,0
13430,case,2024-09-30 06:12:13.372018,2024-09-30 06:12:13.372018,,Hsinchu,Hsinchu City,Taiwan,Taiwan,Hsinchu,{},{},{},{},,1,1,0
13431,case,2024-10-03 21:49:19.864833,2024-10-03 21:49:19.864833,,,Jharkhand,India,India,Unknown,{},{},{},{},,1,1,0
5422,case,2018-09-02 21:52:18.698221,2018-10-12 22:15:57.65263,"Boston, MA, USA",Boston,,United States,United States,Boston,"{protest,informal_engagement,cogovernance}",{},{},{},,1,1,0
6458,case,2020-04-01 00:00:00,2020-04-03 00:00:00,,,,,Unknown,Unknown,{protest},{protest},{inform},{4426},,1,0,1
5357,case,2018-06-25 02:33:01.788022,2019-03-16 07:46:37.651449,"Cantabria, Spain",,,Spain,Spain,"Cantabria, Spain",{cogovernance},{},{},{},,1,1,0
7823,case,2021-12-01 00:00:00,2021-12-01 15:18:26.877592,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
6456,case,2020-03-31 00:00:00,2020-04-10 00:00:00,,,,Colombia,Colombia,Unknown,{},"{collaborative,community}",{inform},"{183,4328}",,1,0,0
6085,case,2019-09-18 00:00:00,2019-09-23 00:35:36.167424,,,,United Kingdom,United Kingdom,Unknown,{consultation},{deliberative},"{facilitate,recruit}","{5507,4258,560,566}",,1,0,0
4564,case,2016-09-04 22:25:02,2016-11-14 08:34:42,,,Queensland,Australia,Australia,Unknown,{},{},{},{},,1,1,0
6635,case,2020-06-23 00:00:00,2020-06-23 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7018,case,2020-09-24 00:00:00,2020-09-26 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
53,case,2010-06-04 00:00:00,2020-08-17 00:00:00,Tillamook Bay,,Oregon,United States,United States,Tillamook Bay,"{consultation,cogovernance,citizenship}","{planning,deliberative,community}","{facilitate,propose,plan}","{4918,4380,4537,4413}",,1,0,0
5073,case,2017-09-27 07:07:00,2017-09-27 07:07:00,Stadt Engen,Engen,Baden-Württemberg,Germany,Germany,Engen,{},{},{},{},,1,1,0
7532,case,2021-05-19 00:00:00,2021-05-19 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
6587,case,2020-06-05 00:00:00,2021-02-27 00:00:00,,Washington,District of Columbia,United States,United States,Washington,{social},{participatory},{},{},,1,1,0
6173,case,2019-10-19 00:42:06.571,2019-10-19 00:42:06.606878,,Helsingborg,Skåne County,Sweden,Sweden,Helsingborg,{},{},{},{},,1,1,0
13432,case,2024-10-03 21:55:31.432031,2024-10-03 21:55:31.432031,,,,,Unknown,Unknown,"{citizenship,civil,social}",{protest},{},{},,1,1,1
5070,case,2017-09-27 00:00:00,2020-09-27 00:00:00,Kikuz Konstanz / Kita Raiteberg,Konstanz,Baden-Württemberg,Germany,Germany,Konstanz,{research},{},{collect},{565},,1,0,0
5187,case,2018-02-01 00:00:00,2020-01-20 00:00:00,"L'Arche Antigonish, West Street, Antigonish, NS, Canada",Antigonish,,Canada,Canada,Antigonish,{consultation},{planning},"{plan,facilitate}",{5188},5772.0,0,0,0
6616,case,2020-06-21 00:00:00,2020-06-21 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
12053,case,2022-11-09 17:12:02.778361,2022-11-09 17:12:02.778361,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
5563,case,2018-12-08 00:00:00,2020-09-24 00:00:00,,,,United States,United States,Unknown,"{protest,advocacy,independent}","{protest,informal}",{},"{4426,4939}",,1,0,0
13435,case,2024-10-08 23:07:09.065729,2024-10-08 23:07:09.065729,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
13437,case,2024-10-09 15:21:20.084171,2024-10-09 15:21:20.084171,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
6178,case,2019-10-19 00:57:13.906,2019-10-19 00:57:13.934769,,Dallas,Texas,United States,United States,Dallas,{},{},{},{},,1,1,0
5690,case,2019-03-27 00:00:00,2020-06-10 00:00:00,UK,,,United Kingdom,United Kingdom,UK,"{consultation,research}","{informal_participation,research}","{collect,inform}",{4328},,1,0,0
13436,case,2024-10-09 14:04:34.868792,2024-10-09 14:16:06.380948,,Benicia,California,United States,United States,Benicia,"{research,cogovernance}",{},{},{},,1,1,0
5446,case,2018-09-23 22:01:35.904281,2019-04-02 16:16:51.903744,"Toronto, ON, Canada",Toronto,,Canada,Canada,Toronto,{direct},{},{},{},,1,1,0
5442,case,2018-09-22 19:29:14.285424,2019-03-09 16:22:29.228915,"Winnipeg, MB, Canada",Winnipeg,,Canada,Canada,Winnipeg,{consultation},{},{},{},,1,1,0
5751,case,2019-04-11 00:00:00,2019-12-09 00:00:00,Thailand,,Nan,Thailand,Thailand,Thailand,"{citizenship,coproduction_form,social}","{collaborative,deliberative,research}","{facilitate,plan}","{5042,5179,560,5098}",,1,0,0
7845,case,2021-12-08 18:35:01.730222,2021-12-08 18:35:01.730222,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
5005,case,2017-08-18 00:00:00,2021-05-27 00:00:00,Meledugno,,Apulia,Italy,Italy,Meledugno,{consultation},"{deliberative,participantled}","{facilitate,collect}",{4795},5004.0,0,0,0
5779,case,2019-05-10 00:00:00,2020-12-09 00:00:00,"La Guajira, Colombia",,,Colombia,Colombia,"La Guajira, Colombia","{research,social,informal}","{research,longterm}",{inform},{},,1,1,0
7846,case,2021-12-08 18:35:46.732066,2021-12-08 18:35:46.732066,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
5183,case,2018-02-01 03:30:35,2018-07-31 16:50:06.833965,,Manchester,,United Kingdom,United Kingdom,Manchester,{},{},{},{},,1,1,0
6119,case,2019-10-05 00:00:00,2019-10-05 23:46:22.821704,,Evanston,Illinois,United States,United States,Evanston,"{citizenship,leadership}","{experiential,community,participantled}","{inform,propose,facilitate}","{5179,4298,4951,4324}",,1,0,0
7854,case,2021-12-08 23:45:26.735319,2021-12-08 23:45:26.735319,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7847,case,2021-12-08 18:36:59.882967,2021-12-08 18:36:59.882967,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
5872,case,2019-06-22 00:00:00,2020-08-04 00:00:00,,Byron Bay,New South Wales,Australia,Australia,Byron Bay,"{consultation,civil}",{deliberative},"{facilitate,facilitate_decisionmaking,recruit}",{5507},,1,0,0
5438,case,2018-09-22 18:46:01.184267,2019-03-09 16:42:25.254314,"Ottawa, ON, Canada",Ottawa,,Canada,Canada,Ottawa,{consultation},{},{},{},,1,1,0
6044,case,2019-08-16 00:00:00,2021-12-21 09:06:52.217976,,,,France,France,Unknown,{cogovernance},{deliberative},"{facilitate,propose,recruit}","{4258,5507,560}",,1,0,0
5581,case,2018-12-21 00:00:00,2019-11-24 00:00:00,,,Texas,United States,United States,Unknown,{cogovernance},{collaborative},{propose},{688},,1,0,0
6200,case,2019-10-21 00:00:00,2019-10-21 17:01:17.14373,,Gorzów Wielkopolski,lubuskie,Polska,Polska,Gorzów Wielkopolski,{},{planning},{},"{5179,5058,4349,4766}",,1,0,0
6612,case,2020-06-21 00:00:00,2020-06-21 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7850,case,2021-12-08 00:00:00,2021-12-08 19:57:29.516979,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
4220,case,2015-05-14 11:39:05,2018-08-04 23:11:49.079726,,Bucharest,,Romania,Romania,Bucharest,{},{},{},{},,1,1,0
7666,case,2021-08-10 08:51:41.346,2021-08-10 08:51:41.346,,Chitungwiza,Mashonaland East Province,Zimbabwe,Zimbabwe,Chitungwiza,{},{},{},{},,1,1,0
31,case,2010-05-21 17:04:59,2019-05-24 16:57:51.157712,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7855,case,2021-12-08 23:45:56.279463,2021-12-08 23:45:56.279463,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
6586,case,2020-06-05 00:00:00,2020-06-12 00:00:00,,,,,Unknown,Unknown,"{protest,social}","{informal,protest}",{inform},"{4939,4426}",,1,0,1
4809,case,2017-02-19 10:11:46,2018-09-11 21:45:47.306935,The United Kingdom and Gibraltar,,,United Kingdom,United Kingdom,The United Kingdom and Gibraltar,{},{},{},{},,1,1,0
1083,case,2013-06-17 00:00:00,2020-09-28 00:00:00,Ethiopia,,,Ethiopia,Ethiopia,Ethiopia,"{civil,citizenship,social}","{planning,community}",{},{5289},,1,0,0
7856,case,2021-12-08 23:47:09.095507,2021-12-08 23:47:09.095507,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
6022,case,2019-08-14 00:00:00,2020-11-17 00:24:21.778168,,,,Canada,Canada,Unknown,"{coproduction,civil}",{deliberative},{propose},{},1260.0,0,1,0
4473,case,2016-07-13 00:00:00,2019-09-04 20:10:53.462193,Mornington Peninsula Shire Council,,Victoria,Australia,Australia,Mornington Peninsula Shire Council,{consultation},"{deliberative,planning,public_meetings}","{collect,facilitate,plan}","{733,565,560,4345,4328}",,1,0,0
5692,case,2019-03-28 00:00:00,2021-01-14 00:00:00,UK,,,United Kingdom,United Kingdom,UK,"{consultation,research}","{collaborative,deliberative,planning}","{inform,facilitate,collect}","{5179,560}",,1,0,0
6993,case,2020-09-19 00:00:00,2021-04-01 00:00:00,,,Rhineland-Palatinate,Germany,Germany,Unknown,{consultation},"{deliberative,planning}","{facilitate,recruit}","{154,160,560}",,1,0,0
6433,case,2020-03-20 00:00:00,2020-03-31 00:00:00,,,,,Unknown,Unknown,{},{},{},{184},212.0,0,0,1
7661,case,2021-08-02 00:00:00,2022-07-25 15:15:59.505865,,,,,Unknown,Unknown,"{civil,research}","{deliberative,participatory}","{propose,facilitate,inform}","{4258,155}",7438.0,0,0,1
8457,case,2022-09-01 21:08:17.370711,2022-09-01 21:08:17.370711,,,,Chile,Chile,Unknown,{},{deliberative},{},{},,1,1,0
7858,case,2021-12-08 23:50:00.422744,2021-12-08 23:50:00.422744,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
5285,case,2018-05-16 00:00:00,2019-06-13 08:37:24.684228,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",George Town,Penang,Malaysia,Malaysia,George Town,"{cogovernance,citizenship,coproduction}","{public,community,collaborative}","{propose,collect,facilitate}","{4777,146,565}",,1,0,0
5600,case,2019-02-13 00:00:00,2022-01-24 19:18:17.062207,,,,South Africa,South Africa,Unknown,"{independent,evaluation,research}","{research,evaluation,community}","{collect,recruit,plan}","{4451,457,5098,6410,6411}",4356.0,0,0,0
7859,case,2021-12-08 23:51:11.499441,2021-12-08 23:51:11.499441,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
4279,case,2015-10-07 00:00:00,2021-04-18 00:00:00,"Local Bodies (municipalities, villages and districts)",Butwal,Lumbini Province,Nepal,Nepal,Butwal,"{informal_engagement,social,consultation}","{planning,deliberative,participantled}","{facilitate,propose}",{560},,1,0,0
481,case,2012-01-10 13:40:17,2016-05-28 08:28:26,Bosque Formosa,,,Argentina,Argentina,Bosque Formosa,{},{},{},{},,1,1,0
5090,case,2017-10-17 00:00:00,2021-05-11 00:00:00,,,,Canada,Canada,Unknown,{consultation},"{deliberative,collaborative}",{collect},{},,1,1,0
7905,case,2021-12-13 22:40:51.024278,2021-12-13 22:40:51.024278,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7860,case,2021-12-08 23:54:06.202876,2021-12-08 23:54:06.202876,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
1462,case,2013-10-28 00:00:00,2021-03-28 00:00:00,,,,Estonia,Estonia,Unknown,"{consultation,research}","{deliberative,participantled}","{collect,propose}",{733},,1,0,0
6553,case,2020-05-16 00:00:00,2020-08-26 00:00:00,,,,Nepal,Nepal,Unknown,"{advocacy,citizenship,civil}",{collaborative},{facilitate},"{4537,5307}",,1,0,0
13440,case,2024-10-11 18:40:27.19341,2024-10-11 18:40:27.19341,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7857,case,2021-12-08 23:49:45.663165,2021-12-08 23:49:45.663165,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7280,case,2021-03-08 00:00:00,2021-03-08 00:00:00,,,,Vietnam,Vietnam,Unknown,{},{},{},{},,1,1,0
8465,case,2022-09-05 10:14:22.360464,2022-09-05 10:14:22.360464,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
8466,case,2022-09-05 00:00:00,2022-09-05 23:28:57.540697,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
4136,case,2014-08-14 00:00:00,2020-11-14 00:00:00,,Brussels,,Belgium,Belgium,Brussels,"{research,citizenship,consultation}","{deliberative,research}","{collect,facilitate,inform}","{560,147,566,565}",,1,0,0
5711,case,2019-03-29 00:00:00,2020-03-05 00:00:00,UK,,,United Kingdom,United Kingdom,UK,"{consultation,coproduction_form}","{deliberative,collaborative}","{facilitate,propose,recruit}","{4777,5179,4328}",,1,0,0
13445,case,2024-10-13 23:30:56.349379,2024-10-13 23:30:56.349379,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
13441,case,2024-10-11 18:42:33.577394,2024-10-11 18:42:33.577394,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
6606,case,2020-06-21 00:00:00,2020-06-21 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7873,case,2021-12-09 21:56:30.250408,2021-12-09 21:56:30.250408,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
5879,case,2019-06-22 00:00:00,2019-09-21 13:09:06.525999,,,South Australia,Australia,Australia,Unknown,{consultation},{deliberative},"{facilitate,inform}","{4777,560}",,1,0,0
7871,case,2021-12-09 11:55:39.261084,2021-12-09 11:55:39.261084,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
5824,case,2019-06-06 00:00:00,2020-03-29 00:00:00,,,Ohio,United States,United States,Unknown,"{consultation,civil,citizenship}",{deliberative},"{facilitate,collect,recruit}","{560,4345,5309}",260.0,0,0,0
13442,case,2024-10-11 23:01:19.476602,2024-10-11 23:01:19.476602,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
8459,case,2022-09-01 21:46:20.791748,2022-09-01 21:46:20.791748,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7862,case,2021-12-09 01:57:45.103545,2021-12-09 01:57:45.103545,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
13447,case,2024-10-16 20:34:10.184068,2024-10-16 20:34:10.184068,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
13449,case,2024-10-18 10:45:38.843567,2024-10-18 10:45:38.843567,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7146,case,2020-10-28 00:00:00,2021-01-16 00:00:00,,,,Panama,Panama,Unknown,{evaluation},{evaluation},{},{},,1,1,0
6585,case,2020-06-05 00:00:00,2021-02-27 00:00:00,,,British Columbia,Canada,Canada,Unknown,"{consultation,cogovernance,research}","{deliberative,informal,research}","{facilitate,recruit,propose}","{4232,560}",,1,0,0
13443,case,2024-10-11 23:18:58.541674,2024-10-11 23:18:58.541674,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7869,case,2021-12-09 11:52:26.746116,2021-12-09 11:52:26.746116,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
8461,case,2022-09-01 22:00:18.777185,2022-09-01 22:00:18.777185,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7881,case,2021-12-13 22:07:59.130149,2021-12-13 22:07:59.130149,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
6241,case,2019-11-02 00:00:00,2019-11-03 00:00:00,,Buenos Aires,Buenos Aires,Argentina,Argentina,Buenos Aires,"{civil,coproduction}","{deliberative,collaborative}",{},"{4380,5035}",,1,0,0
13448,case,2024-10-16 20:34:59.87491,2024-10-16 20:34:59.87491,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
13450,case,2024-10-19 04:12:39.715842,2024-10-19 04:12:39.715842,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7352,case,2021-03-24 00:00:00,2021-04-03 00:00:00,,Madrid,Community of Madrid,Spain,Spain,Madrid,{consultation},{deliberative},"{facilitate,recruit,propose}","{560,4345,5507,154}",,1,0,0
8462,case,2022-09-03 09:07:26.002549,2022-09-03 09:07:26.002549,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
13444,case,2024-10-12 05:09:49.744115,2024-10-12 05:09:49.744115,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7872,case,2021-12-09 00:00:00,2021-12-09 19:41:07.205707,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
12796,case,2023-08-21 13:32:24.318191,2023-08-21 13:32:24.318191,,,,United States,United States,Unknown,{},{},{},{},,1,1,0
5123,case,2017-11-10 00:00:00,2019-12-12 00:00:00,"Tennessee, United States",,Tennessee,United States,United States,"Tennessee, United States","{consultation,research}","{planning,deliberative,public_meetings}","{collect,inform,facilitate}","{4885,4777,565,4939,4380,4349,5179}",,1,0,0
7343,case,2021-03-23 00:00:00,2021-04-01 00:00:00,,,,Ireland,Ireland,Unknown,{consultation},{deliberative},"{facilitate,recruit,propose}","{560,4258,154,5507}",,1,0,0
5922,case,2019-06-29 00:00:00,2019-09-03 00:32:37.873393,,Denver,Colorado,United States,United States,Denver,"{research,citizenship}",{deliberative},"{facilitate,inform,recruit}","{5097,164,5507,560,566}",,1,0,0
8463,case,2022-09-03 00:00:00,2022-09-03 16:48:16.353968,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
8488,case,2022-09-10 04:39:31.839311,2022-09-10 04:39:31.839311,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7928,case,2021-12-14 00:19:29.203551,2021-12-14 00:19:29.203551,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
13417,case,2024-10-23 06:08:37.238148,2024-10-23 06:08:37.238148,,Washington,District of Columbia,United States,United States,Washington,{research},{deliberative},"{collect,facilitate,recruit}",{},318.0,0,1,0
5006,case,2017-08-21 07:47:43,2019-02-01 17:54:54.775725,"Makoko, Lagos, Nigeria",Lagos,,Nigeria,Nigeria,Lagos,"{consultation,research,citizenship}",{},{},{},,1,1,0
11,case,2010-01-06 00:00:00,2019-01-31 00:00:00,,Brea,California,United States,United States,Brea,"{cogovernance,consultation}",{},{},{},,1,1,0
7870,case,2021-12-09 11:54:23.361234,2021-12-09 11:54:23.361234,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7266,case,2021-02-04 00:00:00,2021-02-04 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
4941,case,2017-06-19 10:41:57,2018-08-24 16:29:47.050279,,Cascais,,Portugal,Portugal,Cascais,{},{},{},{},,1,1,0
5985,case,2019-07-31 00:00:00,2020-10-13 00:00:00,,Cali,Valle del Cauca,Colombia,Colombia,Cali,{independent},{},{propose},{4328},,1,0,0
5874,case,2019-06-22 00:00:00,2020-08-04 00:00:00,,Canberra,Australian Capital Territory,Australia,Australia,Canberra,{consultation},"{deliberative,planning}","{facilitate,collect}","{5179,560,565,566}",,1,0,0
6582,case,2020-06-03 00:00:00,2022-03-29 15:06:34.659839,,Paris,Île-de-France,France,France,Paris,{},"{deliberative,collaborative}",{},{},,1,1,0
4816,case,2017-02-24 00:00:00,2019-05-27 17:02:24.000887,Comune di Soliere,Soliera,Modena,Italy,Italy,Soliera,{cogovernance},{public},{manage},{146},4821.0,0,0,0
13452,case,2024-10-23 22:48:03.948335,2024-10-23 22:48:03.948335,,,,China,China,Unknown,{},{},{},{},,1,1,0
44,case,2009-11-28 00:00:00,2021-06-25 00:00:00,,Porto Alegre,,Brazil,Brazil,Porto Alegre,"{cogovernance,direct}","{public,deliberative}","{manage,facilitate,inform}",{146},,1,0,0
8443,case,2022-08-29 00:00:00,2022-08-29 23:33:54.153118,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7812,case,2021-11-24 00:00:00,2022-05-09 21:06:46.54644,,,,Afghanistan,Afghanistan,Unknown,"{social,civil,cogovernance}","{public,direct,community}","{facilitate_decisionmaking,legislation,manage}",{},,1,1,0
8468,case,2022-09-06 08:25:27.058299,2022-09-06 08:25:27.058299,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
8469,case,2022-09-06 00:00:00,2022-09-06 22:15:13.106721,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
12520,case,2023-05-12 19:32:19.914166,2023-05-12 19:45:23.211734,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
1150,case,2013-07-08 00:00:00,2020-08-13 00:00:00,"Ulaanbaatar, Mongolia",Ulaanbaatar,Ulaanbaatar,Mongolia,Mongolia,Ulaanbaatar,"{consultation,citizenship}","{public_meetings,community,deliberative}","{propose,facilitate}","{5312,162,560,566}",,1,0,0
7638,case,2020-04-03 00:00:00,2021-07-28 00:00:00,,,Georgia,United States,United States,Unknown,{},{community},{inform},"{183,5098}",,1,0,0
7874,case,2021-12-09 21:57:11.835398,2021-12-09 21:57:11.835398,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
